data,produto,categoria,quantidade,preco_unitario
2024-01-05,Teclado Mecânico,Periféricos,2,350.00
2024-01-12,Mouse Gamer,Periféricos,3,180.00
2024-01-20,Monitor 24",Monitores,1,1200.00
2024-02-03,Headset,Periféricos,2,250.00
2024-02-10,SSD 480GB,Armazenamento,4,220.00
2024-02-18,HD 1TB,Armazenamento,1,320.00
2024-03-02,Placa de Vídeo RTX 2060,Hardware,1,1800.00
2024-03-11,Memória RAM 16GB,Hardware,2,420.00
2024-03-19,Fonte 650W,Hardware,1,390.00
2024-04-01,Mousepad Gamer,Periféricos,5,90.00
2024-04-09,Cadeira Gamer,Móveis,1,950.00
2024-04-17,Notebook,Máquinas,1,4200.00
2024-05-04,Webcam HD,Periféricos,2,210.00
2024-05-13,Microfone USB,Periféricos,1,480.00
2024-05-22,Monitor 27",Monitores,1,1650.00
